Equipo,Jugadores (separados por |),Racha
Team Heretics,benjyfishy|Wo0t|MiniBoo|RieNs|Boo,-2
Fnatic,Alfajer|Chronicle|Boaster|crashies|kaajak,-1
G2 Esports,jawgemo|valyn|JonahP|leaf|trent,7
Team Liquid,Keiko|kamo|trexx|nAts|paTiTek,3
BBL Esports,PROFEK|LewN|MAGNUM|sociablee|Jamppi,-2
GIANTX,Flickless|ara|GRUBINHO|Cloud|westside,-1
Karmine Corp,pyrolll|marteen|Avez|SUYGETSU|Saadhak,-1
Natus Vincere,Ruxic|hiro|alexiiik|ANGE1|Shao,2
Karmine Corp GC,Jiex|alkyia|Glance|safiaa|anesilia,6
Gentle Mates,Veqaj|Minny|kamyk|ComeBack|Proxh,-5
Enterprise Esports,starki|jas|zeek|Doma|Kiles,-1
GIANTX GC,Nami|sarah|eva|ness|Smurfette,0
SK Nebula,Liza|Joliinaa|devilasxa|jademwah|PuriTy,0
BBL PCIFIC,Loita|Crewen|Rose|Lar0k|lovers_rock,0
ULF Esports,nekky|Favian|echo|audaz|s0pp,-1
