Nombre,Equipo,Nacionalidad,ACS,Kills/Round,Deaths/Round,Open Kills/Round,Headshots/Round,Kill cost,Mejor mapa (ACS),Peor mapa (ACS),Rol recomendado
Wo0t,Team Heretics,Turkey,230.3,0.8,0.69,0.137,0.73,4512,Ascent (245.6),Lotus (196.2),Initiator
benjyfishy,Team Heretics,United Kingdom,182.2,0.65,0.69,0.085,0.59,4995,Bind (234.0),Breeze (173.2),Sentinel
RieNs,Team Heretics,Turkey,220.9,0.76,0.68,0.075,0.64,4714,Breeze (245.0),Pearl (181.8),Initiator
MiniBoo,Team Heretics,Lithuania,207.6,0.75,0.75,0.16,0.56,4950,Breeze (244.3),Bind (209.7),Duelist
Boo,Team Heretics,Lithuania,162.2,0.56,0.64,0.073,0.49,6225,Lotus (187.8),Pearl (147.6),Controller
Alfajer,Fnatic,Turkey,228.0,0.78,0.7,0.11,0.7,4700,Breeze (240),Icebox (205),Duelist
Chronicle,Fnatic,Russia,216.0,0.72,0.69,0.08,0.62,4557,Ascent (230),Split (198),Initiator
Boaster,Fnatic,United Kingdom,174.0,0.6,0.65,0.04,0.5,5000,Lotus (185),Haven (160),Controller
crashies,Fnatic,USA,185.0,0.65,0.67,0.07,0.58,4800,Split (195),Bind (170),Sentinel
kaajak,Fnatic,Finland,195.0,0.68,0.68,0.09,0.6,4850,Pearl (205),Fracture (180),Initiator
jawgemo,G2 Esports,USA,232.0,0.8,0.71,0.12,0.72,4650,Fracture (245),Pearl (200),Duelist
valyn,G2 Esports,USA,180.0,0.62,0.66,0.05,0.55,5100,Bind (190),Breeze (160),Controller
JonahP,G2 Esports,USA,188.0,0.64,0.67,0.08,0.58,4900,Ascent (198),Lotus (170),Initiator
leaf,G2 Esports,USA,225.0,0.78,0.7,0.11,0.68,4700,Split (235),Icebox (200),Duelist
trent,G2 Esports,USA,182.0,0.63,0.67,0.06,0.57,4950,Haven (192),Fracture (170),Sentinel
PROFEK,BBL Esports,Turkey,190.0,0.66,0.69,0.07,0.58,4900,Bind (200),Breeze (170),Controller
LewN,BBL Esports,Turkey,210.0,0.74,0.7,0.11,0.65,4700,Split (220),Icebox (185),Duelist
MAGNUM,BBL Esports,Czechia,178.0,0.62,0.68,0.05,0.55,5050,Ascent (188),Pearl (160),Sentinel
sociablee,BBL Esports,Turkey,196.0,0.68,0.69,0.09,0.6,4850,Haven (205),Lotus (180),Initiator
Jamppi,BBL Esports,Finland,215.0,0.76,0.71,0.1,0.67,4750,Fracture (225),Sunset (190),Flex
Flickless,GIANTX,Spain,205.0,0.7,0.69,0.1,0.64,4800,Split (215),Icebox (180),Duelist
ara,GIANTX,Spain,188.0,0.64,0.67,0.07,0.58,4950,Ascent (198),Pearl (170),Initiator
GRUBINHO,GIANTX,Spain,176.0,0.61,0.67,0.06,0.55,5000,Bind (185),Haven (160),Controller
Cloud,GIANTX,UK,202.0,0.69,0.69,0.08,0.61,4900,Lotus (212),Fracture (180),Initiator
westside,GIANTX,Spain,183.0,0.63,0.68,0.06,0.56,4980,Haven (193),Sunset (170),Sentinel
pyrolll,Karmine Corp,France,212.0,0.73,0.7,0.11,0.66,4780,Fracture (222),Breeze (185),Duelist
marteen,Karmine Corp,France,190.0,0.66,0.69,0.08,0.6,4900,Ascent (200),Lotus (175),Initiator
Avez,Karmine Corp,France,185.0,0.64,0.68,0.06,0.58,5000,Haven (195),Split (170),Controller
SUYGETSU,Karmine Corp,Russia,180.0,0.62,0.67,0.05,0.56,5100,Pearl (190),Icebox (165),Sentinel
Saadhak,Karmine Corp,Brazil,200.0,0.68,0.69,0.09,0.61,4850,Bind (210),Sunset (180),Flex
Ruxic,Natus Vincere,Ukraine,224.0,0.78,0.7,0.1,0.67,4468,Split (246),Haven (197),Duelist
hiro,Natus Vincere,Ukraine,188.0,0.64,0.68,0.08,0.59,4900,Ascent (198),Breeze (172),Initiator
alexiiik,Natus Vincere,Ukraine,182.0,0.63,0.67,0.06,0.57,4950,Bind (192),Pearl (170),Controller
ANGE1,Natus Vincere,Ukraine,178.0,0.61,0.66,0.05,0.55,5100,Haven (188),Fracture (165),Controller
Shao,Natus Vincere,Ukraine,186.0,0.65,0.68,0.07,0.58,5000,Lotus (196),Sunset (172),Sentinel
Jiex,Karmine Corp GC,France,210.0,0.72,0.7,0.11,0.66,4800,Split (220),Pearl (185),Duelist
alkyia,Karmine Corp GC,France,192.0,0.66,0.69,0.08,0.6,4900,Ascent (202),Breeze (178),Initiator
Glance,Karmine Corp GC,France,184.0,0.63,0.68,0.06,0.57,4950,Bind (194),Lotus (170),Controller
safiaa,Karmine Corp GC,France,180.0,0.62,0.67,0.05,0.56,5000,Haven (190),Icebox (165),Sentinel
anesilia,Karmine Corp GC,France,188.0,0.64,0.68,0.07,0.58,4900,Fracture (198),Sunset (172),Flex
Veqaj,Gentle Mates,France,208.0,0.71,0.7,0.1,0.65,4820,Breeze (218),Pearl (190),Duelist
Minny,Gentle Mates,France,186.0,0.65,0.68,0.07,0.58,4950,Ascent (196),Lotus (170),Controller
kamyk,Gentle Mates,France,192.0,0.66,0.69,0.08,0.6,4900,Split (202),Haven (176),Initiator
ComeBack,Gentle Mates,France,180.0,0.62,0.67,0.05,0.56,5000,Bind (190),Icebox (165),Sentinel
Proxh,Gentle Mates,France,188.0,0.64,0.68,0.07,0.58,4900,Fracture (198),Sunset (172),Flex
